image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.905709,bus,van,False
drive_022,2,3,0.80219,car,car,True
drive_022,3,4,0.828465,car,car,True
drive_022,4,1,0.900635,car,car,True
drive_022,5,5,0.845441,truck,bus,False
drive_033,1,1,0.981056,bus,van,False
drive_033,2,2,0.80966,truck,bus,False
drive_033,3,11,0.891402,car,car,True
drive_033,4,12,0.926758,bus,van,False
drive_033,5,8,0.83529,car,car,True
drive_033,6,10,0.813916,car,car,True
drive_033,7,6,0.834019,car,car,True
drive_033,8,7,0.889792,car,car,True
drive_033,9,5,0.75089,car,car,True
drive_033,15,3,0.872514,car,car,True
drive_033,16,4,0.7648,car,car,True
drive_033,17,9,0.872564,car,car,True
drive_038,1,5,0.936445,truck,bus,False
drive_038,2,8,0.853896,car,car,True
drive_038,3,7,0.860119,car,car,True
drive_038,4,9,0.880524,truck,bus,False
drive_038,5,6,0.830221,car,car,True
drive_038,13,11,0.8479,car,car,True
drive_038,14,10,0.805229,car,car,True
drive_038,15,14,0.803619,car,car,True
drive_038,16,13,0.84956,car,car,True
drive_038,17,12,0.725591,car,car,True
drive_038,28,15,0.881543,truck,truck,True
drive_038,29,16,0.857011,car,car,True
drive_038,30,17,0.916206,car,car,True
drive_038,35,1,0.924393,car,car,True
drive_038,36,2,0.926475,car,car,True
drive_038,37,3,0.91332,car,car,True
drive_038,38,4,0.854878,car,car,True
drive_008,1,11,0.940291,car,car,True
drive_008,2,6,0.896557,car,car,True
drive_008,3,4,0.894638,car,car,True
drive_008,4,16,0.925186,car,car,True
drive_008,5,12,0.892039,van,truck,False
drive_008,6,3,0.91542,van,truck,False
drive_008,7,5,0.863641,van,truck,False
drive_008,8,2,0.897383,car,car,True
drive_008,9,1,0.841827,truck,bus,False
drive_008,10,9,0.958777,bus,van,False
drive_008,15,15,0.170845,car,car,True
drive_008,17,14,0.847441,car,car,True
drive_008,18,13,0.699504,car,car,True
drive_008,26,7,0.844394,car,car,True
